,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
32,2020-02-28,38.86296777750045,-5.69310040919549,67.09607897137742,38.86296777750045,38.86296777750045,-8.520819759172554,-8.520819759172554,-8.520819759172554,-5.255470866943496,-5.255470866943496,-5.255470866943496,-3.2653488922290568,-3.2653488922290568,-3.2653488922290568,0.0,0.0,0.0,30.342148018327897
33,2020-03-02,40.42838551979306,-8.86317105499642,65.27675802978005,40.42838551979306,40.42838551979306,-12.381930724297542,-12.381930724297542,-12.381930724297542,-2.7650593254657903,-2.7650593254657903,-2.7650593254657903,-9.616871398831751,-9.616871398831751,-9.616871398831751,0.0,0.0,0.0,28.04645479549552
34,2020-03-03,40.95019143389059,-11.000734619125994,61.04071365147551,40.95019143389059,40.95019143389059,-15.697150367378347,-15.697150367378347,-15.697150367378347,-4.278624882617861,-4.278624882617861,-4.278624882617861,-11.418525484760487,-11.418525484760487,-11.418525484760487,0.0,0.0,0.0,25.25304106651224
35,2020-03-04,41.47199734798812,-10.252398994885628,60.48682155224994,41.47199734798812,41.47199734798812,-16.464857749379767,-16.464857749379767,-16.464857749379767,-3.448980936165486,-3.448980936165486,-3.448980936165486,-13.015876813214279,-13.015876813214279,-13.015876813214279,0.0,0.0,0.0,25.007139598608354
36,2020-03-05,41.993803262085656,-11.354355806338111,57.403608656357584,41.993803262085656,41.993803262085656,-18.69918144790654,-18.69918144790654,-18.69918144790654,-4.312581032708367,-4.312581032708367,-4.312581032708367,-14.38660041519817,-14.38660041519817,-14.38660041519817,0.0,0.0,0.0,23.294621814179116
37,2020-03-06,42.51560917618318,-12.928412071655762,57.18346677973417,42.51560917618318,42.51560917618318,-20.76835469364355,-20.76835469364355,-20.76835469364355,-5.255470866940712,-5.255470866940712,-5.255470866940712,-15.512883826702836,-15.512883826702836,-15.512883826702836,0.0,0.0,0.0,21.747254482539635
38,2020-03-09,44.08102691847578,-10.224768976637828,61.26811147709316,44.08102691847578,44.08102691847578,-20.087117083188947,-20.087117083188947,-20.087117083188947,-2.7650593254328872,-2.7650593254328872,-2.7650593254328872,-17.32205775775606,-17.32205775775606,-17.32205775775606,0.0,0.0,0.0,23.993909835286832
39,2020-03-10,44.60283283257332,-13.555837968622418,57.44840986058783,44.60283283257332,44.60283283257332,-21.672402036295562,-21.672402036295562,-21.672402036295562,-4.278624882613358,-4.278624882613358,-4.278624882613358,-17.393777153682205,-17.393777153682205,-17.393777153682205,0.0,0.0,0.0,22.930430796277758
40,2020-03-11,45.124638746670854,-11.216737502324934,60.68008514155289,45.124638746670854,45.124638746670854,-20.657820545041563,-20.657820545041563,-20.657820545041563,-3.44898093616647,-3.44898093616647,-3.44898093616647,-17.208839608875092,-17.208839608875092,-17.208839608875092,0.0,0.0,0.0,24.46681820162929
41,2020-03-12,45.64644466076838,-10.007338006761907,62.726848316651214,45.64644466076838,45.64644466076838,-21.092666556086076,-21.092666556086076,-21.092666556086076,-4.312581032710929,-4.312581032710929,-4.312581032710929,-16.780085523375146,-16.780085523375146,-16.780085523375146,0.0,0.0,0.0,24.553778104682305
42,2020-03-13,46.168250574865915,-6.977895272177418,61.71818082452555,46.168250574865915,46.168250574865915,-21.380273172619074,-21.380273172619074,-21.380273172619074,-5.25547086692612,-5.25547086692612,-5.25547086692612,-16.124802305692956,-16.124802305692956,-16.124802305692956,0.0,0.0,0.0,24.78797740224684
43,2020-03-16,47.73366831715851,-1.9219566689228704,70.22791314377572,47.73366831715851,47.73366831715851,-15.79304850399771,-15.79304850399771,-15.79304850399771,-2.765059325443223,-2.765059325443223,-2.765059325443223,-13.027989178554487,-13.027989178554487,-13.027989178554487,0.0,0.0,0.0,31.9406198131608
44,2020-03-17,48.25547423125605,-3.4047974747567094,67.6937324207945,48.25547423125605,48.25547423125605,-15.987329352020756,-15.987329352020756,-15.987329352020756,-4.278624882617141,-4.278624882617141,-4.278624882617141,-11.708704469403616,-11.708704469403616,-11.708704469403616,0.0,0.0,0.0,32.268144879235294
45,2020-03-18,48.77728014535357,-0.9784314826565671,72.06137399753744,48.77728014535357,48.77728014535357,-13.744304943097704,-13.744304943097704,-13.744304943097704,-3.448980936167452,-3.448980936167452,-3.448980936167452,-10.295324006930253,-10.295324006930253,-10.295324006930253,0.0,0.0,0.0,35.03297520225587
46,2020-03-19,49.29908605945111,-0.0705876485082315,71.49332092323897,49.29908605945111,49.29908605945111,-13.13113641328991,-13.13113641328991,-13.13113641328991,-4.31258103271349,-4.31258103271349,-4.31258103271349,-8.818555380576422,-8.818555380576422,-8.818555380576422,0.0,0.0,0.0,36.167949646161205
47,2020-03-20,49.82089197354864,0.3477795074375581,71.216583572205,49.82089197354864,49.82089197354864,-12.564223837602995,-12.564223837602995,-12.564223837602995,-5.255470866963785,-5.255470866963785,-5.255470866963785,-7.30875297063921,-7.30875297063921,-7.30875297063921,0.0,0.0,0.0,37.256668135945645
48,2020-03-23,51.386309715841236,10.99385668387971,80.6672767270874,51.386309715841236,51.386309715841236,-5.629748472514265,-5.629748472514265,-5.629748472514265,-2.7650593254426443,-2.7650593254426443,-2.7650593254426443,-2.864689147071621,-2.864689147071621,-2.864689147071621,0.0,0.0,0.0,45.75656124332697
49,2020-03-24,51.908115624760946,11.792401300353266,81.27779938925782,51.908115624760946,51.908115624760946,-5.773961772097957,-5.773961772097957,-5.773961772097957,-4.278624882604353,-4.278624882604353,-4.278624882604353,-1.4953368894936045,-1.4953368894936045,-1.4953368894936045,0.0,0.0,0.0,46.13415385266299
50,2020-03-25,52.42992153368068,12.243247847523438,85.20373856248612,52.42992153368068,52.42992153368068,-3.6655146799135534,-3.6655146799135534,-3.6655146799135534,-3.4489809361640424,-3.4489809361640424,-3.4489809361640424,-0.21653374374951104,-0.21653374374951104,-0.21653374374951104,0.0,0.0,0.0,48.76440685376712
51,2020-03-26,52.9517274426004,15.348377176380342,87.33674543286878,52.9517274426004,52.9517274426004,-3.356486520914773,-3.356486520914773,-3.356486520914773,-4.312581032718145,-4.312581032718145,-4.312581032718145,0.9560945118033722,0.9560945118033722,0.9560945118033722,0.0,0.0,0.0,49.59524092168563
52,2020-03-27,53.47353335152012,17.926987429213863,86.58801381954709,53.47353335152012,53.47353335152012,-3.244845989804712,-3.244845989804712,-3.244845989804712,-5.255470866955096,-5.255470866955096,-5.255470866955096,2.0106248771503834,2.0106248771503834,2.0106248771503834,0.0,0.0,0.0,50.22868736171541
53,2020-03-30,55.03895107827927,21.560990642106816,92.17937234567745,55.03895107827927,55.03895107827927,1.637294843438083,1.637294843438083,1.637294843438083,-2.765059325463892,-2.765059325463892,-2.765059325463892,4.402354168901975,4.402354168901975,4.402354168901975,0.0,0.0,0.0,56.67624592171735
54,2020-03-31,55.560756987199,18.605371564710378,94.16340066374599,55.560756987199,55.560756987199,0.6603241432177714,0.6603241432177714,0.6603241432177714,-4.278624882622546,-4.278624882622546,-4.278624882622546,4.9389490258403175,4.9389490258403175,4.9389490258403175,0.0,0.0,0.0,56.22108113041677
55,2020-04-01,56.08256289611871,23.059190980303594,95.57915759153227,56.08256289611871,56.08256289611871,1.9024778751171108,1.9024778751171108,1.9024778751171108,-3.448980936165026,-3.448980936165026,-3.448980936165026,5.351458811282136,5.351458811282136,5.351458811282136,0.0,0.0,0.0,57.98504077123582
56,2020-04-02,56.60436880503844,22.138756200630453,92.37691797771255,56.60436880503844,56.60436880503844,1.3349797104666783,1.3349797104666783,1.3349797104666783,-4.312581032720707,-4.312581032720707,-4.312581032720707,5.647560743187386,5.647560743187386,5.647560743187386,0.0,0.0,0.0,57.93934851550512
57,2020-04-03,57.12617471395815,20.9137397638404,96.24333109994777,57.12617471395815,57.12617471395815,0.5814062237321789,0.5814062237321789,0.5814062237321789,-5.255470866952312,-5.255470866952312,-5.255470866952312,5.8368770906844905,5.8368770906844905,5.8368770906844905,0.0,0.0,0.0,57.70758093769033
58,2020-04-06,58.691592440717315,27.086962252365073,94.92981264370584,58.691592440717315,58.691592440717315,3.1127653559347737,3.1127653559347737,3.1127653559347737,-2.7650593254633136,-2.7650593254633136,-2.7650593254633136,5.877824681398087,5.877824681398087,5.877824681398087,0.0,0.0,0.0,61.80435779665209
59,2020-04-07,59.21339834963703,25.516557659579476,96.84979019878766,59.21339834963703,59.21339834963703,1.4768921770752994,1.4768921770752994,1.4768921770752994,-4.278624882618043,-4.278624882618043,-4.278624882618043,5.755517059693343,5.755517059693343,5.755517059693343,0.0,0.0,0.0,60.69029052671233
60,2020-04-08,59.73520425855676,25.541618149328198,96.41588016462946,59.73520425855676,59.73520425855676,2.1350486591508324,2.1350486591508324,2.1350486591508324,-3.4489809361660084,-3.4489809361660084,-3.4489809361660084,5.58402959531684,5.58402959531684,5.58402959531684,0.0,0.0,0.0,61.870252917707596
61,2020-04-09,60.25701016747647,24.85047635983169,96.89725269513215,60.25701016747647,60.25701016747647,1.0603484827045428,1.0603484827045428,1.0603484827045428,-4.3125810327243155,-4.3125810327243155,-4.3125810327243155,5.372929515428859,5.372929515428859,5.372929515428859,0.0,0.0,0.0,61.31735865018101
62,2020-04-13,62.344233803155355,25.867229065110614,102.30384818046471,62.344233803155355,62.344233803155355,1.490837329773974,1.490837329773974,1.490837329773974,-2.7650593254627363,-2.7650593254627363,-2.7650593254627363,4.25589665523671,4.25589665523671,4.25589665523671,0.0,0.0,0.0,63.83507113292933
63,2020-04-14,62.86603971207508,24.98114213852067,99.36685727499619,62.86603971207508,62.86603971207508,-0.3596631486939903,-0.3596631486939903,-0.3596631486939903,-4.278624882613542,-4.278624882613542,-4.278624882613542,3.9189617339195517,3.9189617339195517,3.9189617339195517,0.0,0.0,0.0,62.50637656338109
64,2020-04-15,63.387845620994796,25.64198830833588,99.64606878696647,63.387845620994796,63.387845620994796,0.10545661533554344,0.10545661533554344,0.10545661533554344,-3.4489809361669903,-3.4489809361669903,-3.4489809361669903,3.554437551502534,3.554437551502534,3.554437551502534,0.0,0.0,0.0,63.49330223633034
65,2020-04-16,63.90965152991452,28.184908368247036,97.82534671860421,63.90965152991452,63.90965152991452,-1.15672421157199,-1.15672421157199,-1.15672421157199,-4.312581032709363,-4.312581032709363,-4.312581032709363,3.155856821137373,3.155856821137373,3.155856821137373,0.0,0.0,0.0,62.75292731834253
66,2020-04-17,64.43145743883424,25.374528163066266,100.56152442500871,64.43145743883424,64.43145743883424,-2.5408025514593504,-2.5408025514593504,-2.5408025514593504,-5.255470866934935,-5.255470866934935,-5.255470866934935,2.714668315475585,2.714668315475585,2.714668315475585,0.0,0.0,0.0,61.89065488737489
67,2020-04-20,65.99687516559341,26.651410885381438,101.48170380807731,65.99687516559341,65.99687516559341,-1.7388395276055701,-1.7388395276055701,-1.7388395276055701,-2.765059325473071,-2.765059325473071,-2.765059325473071,1.026219797867501,1.026219797867501,1.026219797867501,0.0,0.0,0.0,64.25803563798785
68,2020-04-21,66.51868107451313,26.058066974839214,96.91026566075593,66.51868107451313,66.51868107451313,-3.9780363358083646,-3.9780363358083646,-3.9780363358083646,-4.27862488262345,-4.27862488262345,-4.27862488262345,0.30058854681508546,0.30058854681508546,0.30058854681508546,0.0,0.0,0.0,62.54064473870476
69,2020-04-22,67.04048698343284,28.202373104968082,97.82162170959877,67.04048698343284,67.04048698343284,-3.976627021698581,-3.976627021698581,-3.976627021698581,-3.448980936163955,-3.448980936163955,-3.448980936163955,-0.5276460855346258,-0.5276460855346258,-0.5276460855346258,0.0,0.0,0.0,63.06385996173426
70,2020-04-23,67.56229289235256,26.17602582430043,99.8005639412288,67.56229289235256,67.56229289235256,-5.783002748328636,-5.783002748328636,-5.783002748328636,-4.312581032712972,-4.312581032712972,-4.312581032712972,-1.4704217156156654,-1.4704217156156654,-1.4704217156156654,0.0,0.0,0.0,61.779290144023925
71,2020-04-24,68.08409880127229,26.179196987693913,96.44146286744395,68.08409880127229,68.08409880127229,-7.793863169516567,-7.793863169516567,-7.793863169516567,-5.255470866932149,-5.255470866932149,-5.255470866932149,-2.5383923025844166,-2.5383923025844166,-2.5383923025844166,0.0,0.0,0.0,60.29023563175572
72,2020-04-27,69.64951652803146,21.590900701976626,101.63002916792102,69.64951652803146,69.64951652803146,-9.335307903437135,-9.335307903437135,-9.335307903437135,-2.76505932544017,-2.76505932544017,-2.76505932544017,-6.570248577996965,-6.570248577996965,-6.570248577996965,0.0,0.0,0.0,60.31420862459432
